what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1464703225589
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1464703225589
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1464703225589
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1464703225589
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1464703225589
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1464703225589
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1464703225589
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1464703225589
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1464703225589
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1464703225589
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1464703225589
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1464703225605
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1464703225605
started,bundle,com.altera.sbtgui.integration,13.1.0.182,"com.altera.sbtgui.integration",1464703225605
started,bundle,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch",1464703225605
started,bundle,com.altera.sbtgui.project,13.1.0.182,"com.altera.sbtgui.project",1464703225605
started,bundle,com.altera.systemconsole,13.1.0.182,"com.altera.systemconsole",1464703225605
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.182,"com.altera.systemconsole.designs.plugin",1464703225605
started,bundle,com.altera.utilities,13.1.0.182,"com.altera.utilities",1464703225605
os,sysinfo,,,"win32",1464703225605
arch,sysinfo,,,"x86",1464703225605
ws,sysinfo,,,"win32",1464703225605
locale,sysinfo,,,"zh_CN",1464703225605
processors,sysinfo,,,"4",1464703225605
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1464703225605
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1464703225605
java.specification.name,sysinfo,,,"Java Platform API Specification",1464703225605
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1464703225605
java.specification.version,sysinfo,,,"1.6",1464703225605
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1464703225605
java.version,sysinfo,,,"1.6.0_23",1464703225605
java.vm.info,sysinfo,,,"mixed mode",1464703225605
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1464703225605
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1464703225605
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1464703225605
java.vm.specification.version,sysinfo,,,"1.0",1464703225605
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1464703225605
java.vm.version,sysinfo,,,"19.0-b09",1464703225605
started,bundle,com.altera.sbtgui.core,13.1.0.182,"com.altera.sbtgui.core",1464703225699
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1464703225745
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1464703227649
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1464703227649
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1464703227649
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1464703227649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464703227934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464703229089
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1464703230087
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1464703230150
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1464703230165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464703231507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464703232380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464703233082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464703233550
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464703234143
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1464703235610
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1464703237887
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464703238574
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1464703259173
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464703261077
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1464703267070
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464703273716
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464703273763
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464703276605
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464703276605
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1464703276621
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1464703277385
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464703277603
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464703277635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1464703280599
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1464703281207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1464703285154
